cluster,number_of_accidents,average_accident_time,most_common_day
507,2,2021-02-18 12:00:00+00:00,THU
508,37,2021-12-23 03:02:14.594594560+00:00,THU
509,26,2021-11-05 17:18:57.692307712+00:00,THU
510,9,2022-06-22 08:00:00+00:00,WED
511,30,2022-01-11 19:58:00+00:00,FRI
512,16,2021-10-22 00:00:00+00:00,TUE
513,1,2021-10-25 00:00:00+00:00,MON
514,11,2021-11-08 18:37:21.818181888+00:00,FRI
515,1,2021-10-20 00:00:00+00:00,WED
516,1,2021-10-23 00:00:00+00:00,SAT
517,9,2022-09-08 09:48:00+00:00,FRI
518,1,2021-10-24 00:00:00+00:00,SUN
519,17,2022-07-03 11:17:38.823529472+00:00,TUE
520,14,2021-07-08 20:04:17.142857216+00:00,MON
521,1,2021-10-16 00:00:00+00:00,SAT
522,11,2022-04-08 21:49:05.454545408+00:00,MON
523,41,2022-02-02 18:56:11.707316992+00:00,SAT
524,1,2021-10-21 00:00:00+00:00,THU
525,1,2021-10-27 00:00:00+00:00,WED
526,2,2022-07-04 00:00:00+00:00,SUN
527,10,2021-09-25 02:24:00+00:00,THU
528,4,2021-07-05 12:00:00+00:00,SAT
529,2,2021-02-07 12:00:00+00:00,MON
530,18,2022-05-18 00:00:00+00:00,TUE
531,1,2021-10-15 00:00:00+00:00,FRI
532,2,2022-08-25 12:00:00+00:00,THU
533,7,2021-09-27 00:00:00+00:00,TUE
534,9,2022-01-19 16:56:53.333333248+00:00,FRI
535,5,2022-06-10 14:24:00+00:00,THU
536,12,2022-01-07 04:44:45.000000256+00:00,FRI
537,2,2020-11-30 00:00:00+00:00,FRI
538,1,2021-10-19 00:00:00+00:00,TUE
