cluster,num_of_accidents,at_intersection,total_vehicles,avg_vehicles,average_days_ago,avg_accident_time,kmeans_cluster,agglomerative_cluster
458,10,0.5,20,2.0,735,65280,3,3
459,4,0.25,6,1.5,817,75806,0,3
460,2,0.0,2,1.0,965,3029,4,0
461,18,0.9444444444444444,35,1.9444444444444444,501,71763,6,4
462,1,1.0,5,5.0,716,19020,5,2
463,2,0.5,3,1.5,401,68580,3,3
464,9,0.6666666666666666,20,2.2222222222222223,619,18062,2,2
465,5,0.4,7,1.4,477,82516,0,3
466,5,1.0,10,2.0,695,3760,2,2
467,2,0.5,4,2.0,1035,19859,2,2
468,1,0.0,1,1.0,712,5999,4,6
469,11,0.8181818181818182,18,1.6363636363636365,814,7210,2,2
470,15,0.6,32,2.1333333333333333,677,66304,6,4
471,28,0.1428571428571428,44,1.5714285714285714,518,66682,6,4
472,6,0.6666666666666666,11,1.8333333333333333,539,12366,2,2
473,9,0.4444444444444444,17,1.8888888888888888,538,81802,3,3
474,40,0.8,85,2.125,581,74336,1,4
475,1,0.0,1,1.0,699,81120,0,0
476,1,0.0,2,2.0,708,85501,0,0
477,40,0.65,77,1.925,577,21176,6,4
478,3,0.0,6,2.0,982,20160,4,1
479,3,0.3333333333333333,3,1.0,1085,69098,0,3
480,2,0.0,4,2.0,440,10919,5,6
481,7,0.8571428571428571,12,1.7142857142857142,488,75364,3,3
482,2,1.0,4,2.0,405,18119,2,2
483,1,0.0,1,1.0,699,68760,0,0
484,4,0.5,8,2.0,321,18459,2,2
485,3,1.0,6,2.0,667,9973,2,2
486,17,0.8235294117647058,28,1.6470588235294117,723,7899,6,2
487,1,0.0,2,2.0,696,9600,4,1
488,1,1.0,2,2.0,696,10799,2,2
489,1,0.0,2,2.0,696,10860,4,1
490,28,0.8214285714285714,61,2.1785714285714284,724,79865,6,4
491,38,0.7631578947368421,80,2.1052631578947367,596,17875,6,4
492,28,0.7142857142857143,63,2.25,677,73008,6,4
493,2,1.0,3,1.5,722,75510,3,3
494,12,0.8333333333333334,25,2.083333333333333,441,5312,2,2
495,3,0.6666666666666666,10,3.333333333333333,616,12755,5,2
496,4,0.0,8,2.0,389,83161,0,3
497,1,1.0,2,2.0,695,67800,3,3
498,12,0.8333333333333334,24,2.0,549,13315,2,2
499,3,0.6666666666666666,7,2.333333333333333,552,79162,3,3
500,1,0.0,1,1.0,694,13919,4,6
501,4,1.0,10,2.5,580,8244,2,2
502,26,0.5384615384615384,47,1.807692307692308,612,68558,6,4
503,1,0.0,1,1.0,701,83700,0,0
504,7,0.7142857142857143,14,2.0,820,76385,3,3
505,14,1.0,27,1.9285714285714288,666,16697,6,2
506,6,1.0,12,2.0,561,67679,3,3
507,2,0.0,3,1.5,856,76860,0,0
508,16,0.6875,32,2.0,656,77764,6,4
509,1,0.0,1,1.0,693,81900,0,0
510,11,0.6363636363636364,12,1.0909090909090908,685,73343,3,3
511,7,0.1428571428571428,15,2.142857142857143,594,14480,5,2
512,1,0.0,1,1.0,700,840,4,6
